Setting,final_cA,final_cB,final_dA,final_dB,all_cA,all_cB,all_dA,all_dB
-g_lr-0.001-d_lr-0.0001-jsd_lambda-5-g_lambda-5-rec_lambda-5,0.9028,0.130859375,0.8355731225296442,0.6231225296442687,"[0.4666, 0.7732, 0.831, 0.8302, 0.8532, 0.8726, 0.8732, 0.9016, 0.9008, 0.9116, 0.9016, 0.899, 0.9216, 0.9092, 0.7398, 0.9284, 0.9148, 0.8906, 0.8538, 0.9028]","[0.2333984375, 0.1861328125, 0.1189453125, 0.128515625, 0.1216796875, 0.1552734375, 0.1427734375, 0.1619140625, 0.1681640625, 0.2720703125, 0.1794921875, 0.1279296875, 0.1677734375, 0.1779296875, 0.1095703125, 0.1189453125, 0.109765625, 0.1185546875, 0.11796875, 0.130859375]","[0.30701581027667985, 0.6922924901185771, 0.7346837944664032, 0.8214426877470355, 0.8242094861660079, 0.3217391304347826, 0.8293478260869566, 0.7323122529644269, 0.741501976284585, 0.700592885375494, 0.7639328063241106, 0.8424901185770751, 0.7761857707509882, 0.7054347826086956, 0.8525691699604743, 0.949703557312253, 0.9534584980237154, 0.8055335968379447, 0.8923913043478261, 0.8355731225296442]","[0.33547430830039526, 0.38181818181818183, 0.3657114624505929, 0.6764822134387352, 0.6575098814229249, 0.366501976284585, 0.7612648221343874, 0.4551383399209486, 0.6402173913043478, 0.6209486166007905, 0.6235177865612648, 0.7050395256916996, 0.41709486166007903, 0.5598814229249012, 0.6567193675889328, 0.6598814229249012, 0.5287549407114625, 0.7040513833992095, 0.6896245059288537, 0.6231225296442687]"
-g_lr-0.001-d_lr-0.001-jsd_lambda-1-g_lambda-5-rec_lambda-5,0.0978,0.0962890625,0.924802371541502,0.8591897233201581,"[0.9382, 0.7532, 0.8708, 0.9086, 0.8112, 0.8974, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978]","[0.3791015625, 0.115625, 0.1587890625, 0.1169921875, 0.128125, 0.116796875, 0.095703125, 0.0994140625, 0.0943359375, 0.0947265625, 0.0986328125, 0.098046875, 0.095703125, 0.1005859375, 0.0974609375, 0.09765625, 0.096875, 0.1, 0.0955078125, 0.0962890625]","[0.9484189723320158, 0.9604743083003953, 0.991403162055336, 0.9762845849802372, 0.9994071146245059, 0.9662055335968379, 0.9928853754940712, 0.9978260869565218, 0.9982213438735178, 0.9953557312252964, 0.9148221343873518, 0.9948616600790514, 0.8216403162055336, 0.7218379446640316, 0.8824110671936759, 0.9958498023715415, 0.9737154150197629, 0.9443675889328064, 0.9826086956521739, 0.924802371541502]","[0.8819169960474308, 0.8205533596837945, 0.8445652173913043, 0.7786561264822134, 0.7955533596837945, 0.6983201581027668, 0.5463438735177866, 0.675098814229249, 0.8010869565217391, 0.7102766798418972, 0.8604743083003953, 0.7383399209486166, 0.967193675889328, 0.9446640316205533, 0.9376482213438735, 0.9047430830039526, 0.9345849802371542, 0.7197628458498023, 0.91600790513834, 0.8591897233201581]"
-g_lr-0.001-d_lr-0.001-jsd_lambda-5-g_lambda-1-rec_lambda-5,0.0978,0.0962890625,0.6894268774703557,0.8472332015810277,"[0.9046, 0.8466, 0.5508, 0.8538, 0.8224, 0.318, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978]","[0.49609375, 0.30234375, 0.3041015625, 0.3818359375, 0.510546875, 0.1330078125, 0.095703125, 0.0994140625, 0.0943359375, 0.0947265625, 0.0986328125, 0.098046875, 0.095703125, 0.1005859375, 0.0974609375, 0.09765625, 0.096875, 0.1, 0.0955078125, 0.0962890625]","[0.9999011857707509, 0.9882411067193676, 0.8870553359683795, 0.6756916996047431, 0.8147233201581028, 0.63300395256917, 0.7281620553359683, 0.6897233201581028, 0.733794466403162, 0.6388339920948617, 0.7182806324110672, 0.5300395256916997, 0.7594861660079051, 0.766798418972332, 0.5075098814229249, 0.5105731225296443, 0.5060276679841897, 0.5156126482213439, 0.5059288537549407, 0.6894268774703557]","[0.7053359683794467, 0.49308300395256915, 0.8717391304347826, 0.8232213438735178, 0.9398221343873517, 0.9466403162055336, 0.8538537549407115, 0.4672924901185771, 0.758399209486166, 0.7717391304347826, 0.825098814229249, 0.8431818181818181, 0.5891304347826087, 0.7508893280632412, 0.524901185770751, 0.7619565217391304, 0.5902173913043478, 0.9801383399209486, 0.5382411067193675, 0.8472332015810277]"
-g_lr-0.001-d_lr-0.001-jsd_lambda-5-g_lambda-5-rec_lambda-0.2,0.0978,0.0962890625,0.6618577075098814,0.9672924901185771,"[0.8852, 0.709, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978]","[0.3193359375, 0.14609375, 0.0998046875, 0.0990234375, 0.09609375, 0.09140625, 0.095703125, 0.0994140625, 0.0943359375, 0.0947265625, 0.0986328125, 0.098046875, 0.095703125, 0.1005859375, 0.0974609375, 0.09765625, 0.096875, 0.1, 0.0955078125, 0.0962890625]","[0.9541501976284585, 0.8296442687747035, 0.8291501976284585, 0.9471343873517787, 0.7653162055335968, 0.5074110671936759, 0.5107707509881423, 0.7287549407114624, 0.7162055335968379, 0.5272727272727272, 0.6874505928853755, 0.8304347826086956, 0.8619565217391304, 0.5717391304347826, 0.6926877470355731, 0.6958498023715415, 0.7895256916996047, 0.6078063241106719, 0.816798418972332, 0.6618577075098814]","[0.9616600790513834, 0.8662055335968379, 0.8020750988142292, 0.5373517786561265, 0.8228260869565217, 0.7767786561264822, 0.8429841897233201, 0.9221343873517787, 0.8986166007905139, 0.8686758893280633, 0.9635375494071147, 0.6240118577075099, 0.7673913043478261, 0.8747035573122529, 0.9367588932806324, 0.8874505928853755, 0.9637351778656127, 0.9033596837944664, 0.941304347826087, 0.9672924901185771]"
-g_lr-0.001-d_lr-0.001-jsd_lambda-5-g_lambda-5-rec_lambda-5,0.0978,0.0962890625,0.5137351778656126,0.8388339920948616,"[0.8218, 0.53, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978]","[0.32734375, 0.1501953125, 0.0998046875, 0.0990234375, 0.09609375, 0.09140625, 0.095703125, 0.0994140625, 0.0943359375, 0.0947265625, 0.0986328125, 0.098046875, 0.095703125, 0.1005859375, 0.0974609375, 0.09765625, 0.096875, 0.1, 0.0955078125, 0.0962890625]","[0.9893280632411067, 0.9536561264822134, 0.791897233201581, 0.7278656126482214, 0.4945652173913043, 0.4966403162055336, 0.7476284584980237, 0.5059288537549407, 0.5192687747035574, 0.4957509881422925, 0.5985177865612649, 0.7554347826086957, 0.5951581027667984, 0.5759881422924901, 0.5617588932806324, 0.525494071146245, 0.5964426877470356, 0.525494071146245, 0.5010869565217392, 0.5137351778656126]","[0.8293478260869566, 0.8459486166007905, 0.7233201581027668, 0.8652173913043478, 0.758596837944664, 0.7412055335968379, 0.8160079051383399, 0.767292490118577, 0.8603754940711462, 0.8110671936758893, 0.899604743083004, 0.9171936758893281, 0.8676877470355732, 0.9689723320158102, 0.5361660079051384, 0.8946640316205534, 0.7789525691699605, 0.9273715415019763, 0.9788537549407115, 0.8388339920948616]"
-g_lr-0.001-d_lr-0.01-jsd_lambda-5-g_lambda-0.2-rec_lambda-0.2,0.0978,0.0962890625,0.7959486166007905,0.9436758893280632,"[0.1204, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978]","[0.1060546875, 0.1005859375, 0.0998046875, 0.0990234375, 0.09609375, 0.09140625, 0.095703125, 0.0994140625, 0.0943359375, 0.0947265625, 0.0986328125, 0.098046875, 0.095703125, 0.1005859375, 0.0974609375, 0.09765625, 0.096875, 0.1, 0.0955078125, 0.0962890625]","[0.7536561264822135, 0.5958498023715415, 0.7872529644268774, 0.9426877470355731, 0.6037549407114624, 0.8731225296442687, 0.8829051383399209, 0.5594861660079051, 0.5061264822134387, 0.5517786561264822, 0.5304347826086957, 0.5073122529644268, 0.7347826086956522, 0.766600790513834, 0.741106719367589, 0.832707509881423, 0.6093873517786561, 0.5124505928853755, 0.5804347826086956, 0.7959486166007905]","[0.9904150197628458, 0.9655138339920949, 0.9712450592885375, 0.8432806324110672, 0.5059288537549407, 0.950592885375494, 0.9214426877470355, 0.8653162055335968, 0.8880434782608696, 0.5725296442687747, 0.9319169960474308, 0.5615612648221344, 0.5306324110671937, 0.9101778656126482, 0.9318181818181818, 0.6895256916996048, 0.9046442687747036, 0.916699604743083, 0.884090909090909, 0.9436758893280632]"
-g_lr-0.01-d_lr-0.0001-jsd_lambda-5-g_lambda-0.2-rec_lambda-5,0.239,0.26171875,0.49486166007905136,0.8041501976284585,"[0.8886, 0.9092, 0.9078, 0.9196, 0.9246, 0.9176, 0.9102, 0.9142, 0.5842, 0.28, 0.1832, 0.154, 0.2192, 0.148, 0.172, 0.0912, 0.2258, 0.1244, 0.095, 0.239]","[0.5744140625, 0.612109375, 0.6095703125, 0.6037109375, 0.62421875, 0.62734375, 0.6181640625, 0.628125, 0.3541015625, 0.2296875, 0.1443359375, 0.1513671875, 0.2951171875, 0.1458984375, 0.158984375, 0.091796875, 0.1728515625, 0.1091796875, 0.09765625, 0.26171875]","[0.7352766798418973, 0.7103754940711462, 0.7855731225296443, 0.7465415019762845, 0.7792490118577076, 0.7598814229249012, 0.8391304347826087, 0.8451581027667984, 0.9342885375494071, 0.716106719367589, 0.8990118577075099, 0.6363636363636364, 0.9520750988142292, 1.0, 0.5592885375494071, 0.49387351778656124, 0.49199604743083003, 0.5339920948616601, 0.4934782608695652, 0.49486166007905136]","[0.7448616600790514, 0.708102766798419, 0.7366600790513834, 0.7378458498023716, 0.7004940711462451, 0.7661067193675889, 0.7627470355731225, 0.7885375494071146, 0.7687747035573123, 0.7641304347826087, 0.8007905138339921, 0.8205533596837945, 0.8212450592885375, 0.791699604743083, 0.6991106719367589, 0.767292490118577, 0.6713438735177866, 0.8605731225296442, 0.7641304347826087, 0.8041501976284585]"
-g_lr-0.01-d_lr-0.0001-jsd_lambda-5-g_lambda-5-rec_lambda-1,0.6594,0.1412109375,1.0,0.4617588932806324,"[0.7086, 0.919, 0.9386, 0.9428, 0.9444, 0.9378, 0.948, 0.946, 0.9234, 0.9324, 0.9576, 0.9134, 0.8814, 0.9572, 0.951, 0.9218, 0.9476, 0.9086, 0.882, 0.6594]","[0.425390625, 0.42578125, 0.4697265625, 0.551953125, 0.610546875, 0.6099609375, 0.6220703125, 0.5966796875, 0.56015625, 0.3892578125, 0.5646484375, 0.319140625, 0.2546875, 0.5142578125, 0.6, 0.18359375, 0.228515625, 0.1533203125, 0.1337890625, 0.1412109375]","[0.46867588932806326, 0.6869565217391305, 0.615909090909091, 0.6198616600790514, 0.5353754940711463, 0.5810276679841897, 0.7015810276679841, 0.9462450592885375, 0.625395256916996, 0.9625494071146246, 0.6465415019762846, 0.7722332015810277, 0.46136363636363636, 0.9930830039525692, 0.9997035573122529, 0.9978260869565218, 0.9997035573122529, 1.0, 1.0, 1.0]","[0.2619565217391304, 0.5195652173913043, 0.7198616600790514, 0.5774703557312253, 0.30059288537549406, 0.8313241106719368, 0.6411067193675889, 0.6718379446640316, 0.6281620553359684, 0.5286561264822134, 0.7792490118577076, 0.22193675889328063, 0.6134387351778656, 0.6200592885375494, 0.9826086956521739, 0.41946640316205536, 0.4470355731225296, 0.542094861660079, 0.634090909090909, 0.4617588932806324]"
-g_lr-0.01-d_lr-0.0001-jsd_lambda-5-g_lambda-5-rec_lambda-0.2,0.8728,0.138671875,1.0,0.4299407114624506,"[0.3374, 0.9106, 0.9318, 0.9436, 0.9422, 0.9458, 0.9272, 0.9178, 0.9492, 0.9544, 0.9522, 0.9502, 0.9502, 0.952, 0.9426, 0.775, 0.8426, 0.8484, 0.777, 0.8728]","[0.1521484375, 0.47265625, 0.3263671875, 0.29765625, 0.275390625, 0.2408203125, 0.1935546875, 0.1966796875, 0.243359375, 0.3625, 0.2107421875, 0.20859375, 0.1880859375, 0.2556640625, 0.27265625, 0.132421875, 0.1392578125, 0.144140625, 0.1111328125, 0.138671875]","[0.2810276679841897, 0.36788537549407113, 0.3432806324110672, 0.507806324110672, 0.5870553359683794, 0.8907114624505929, 0.14703557312252966, 0.8430830039525692, 0.9920948616600791, 0.9918972332015811, 0.9943675889328063, 0.9966403162055336, 1.0, 0.9999011857707509, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.21857707509881422, 0.44120553359683795, 0.4651185770750988, 0.6733201581027668, 0.6481225296442688, 0.3175889328063241, 0.49683794466403164, 0.31521739130434784, 0.5064229249011858, 0.4743083003952569, 0.5720355731225296, 0.46195652173913043, 0.4810276679841897, 0.516600790513834, 0.4634387351778656, 0.5375494071146245, 0.4159090909090909, 0.4352766798418972, 0.33626482213438735, 0.4299407114624506]"
-g_lr-0.01-d_lr-0.001-jsd_lambda-1-g_lambda-5-rec_lambda-1,0.1,0.0984375,0.5446640316205533,0.9251976284584981,"[0.6026, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]","[0.3169921875, 0.1037109375, 0.099609375, 0.1033203125, 0.1033203125, 0.10546875, 0.1017578125, 0.1015625, 0.0978515625, 0.10390625, 0.103515625, 0.100390625, 0.10078125, 0.1, 0.1056640625, 0.100390625, 0.1033203125, 0.102734375, 0.103125, 0.0984375]","[0.6896245059288537, 0.5609683794466404, 0.5964426877470356, 0.5879446640316206, 0.6982213438735178, 0.7340909090909091, 0.5943675889328063, 0.7883399209486166, 0.6806324110671936, 0.6536561264822134, 0.5059288537549407, 0.5546442687747035, 0.6226284584980237, 0.5059288537549407, 0.8397233201581028, 0.5955533596837944, 0.6679841897233202, 0.8694664031620554, 0.8224308300395257, 0.5446640316205533]","[0.9970355731225297, 0.9508893280632411, 0.5868577075098814, 0.7547430830039525, 0.6375494071146245, 0.4589920948616601, 0.508498023715415, 0.6024703557312253, 0.9695652173913043, 0.8293478260869566, 0.8291501976284585, 0.9074110671936759, 0.6004940711462451, 0.8477272727272728, 0.7869565217391304, 0.7022727272727273, 0.7008893280632411, 0.6209486166007905, 0.7647233201581027, 0.9251976284584981]"
-g_lr-0.01-d_lr-0.001-jsd_lambda-5-g_lambda-0.2-rec_lambda-0.2,0.0978,0.0962890625,0.9354743083003952,0.7520750988142293,"[0.6624, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978]","[0.1845703125, 0.1005859375, 0.0998046875, 0.0990234375, 0.09609375, 0.09140625, 0.095703125, 0.0994140625, 0.0943359375, 0.0947265625, 0.0986328125, 0.098046875, 0.095703125, 0.1005859375, 0.0974609375, 0.09765625, 0.096875, 0.1, 0.0955078125, 0.0962890625]","[0.658399209486166, 0.9681818181818181, 0.5479249011857708, 0.5058300395256917, 0.47786561264822136, 0.6084980237154151, 0.7707509881422925, 0.5139328063241106, 0.7203557312252964, 0.5136363636363637, 0.674407114624506, 0.8368577075098814, 0.5795454545454546, 0.7587944664031621, 0.6544466403162056, 0.5212450592885376, 0.541897233201581, 0.5059288537549407, 0.6939723320158103, 0.9354743083003952]","[0.9654150197628458, 0.9354743083003952, 0.6559288537549407, 0.41274703557312253, 0.7403162055335968, 0.3309288537549407, 0.7124505928853755, 0.658399209486166, 0.391403162055336, 0.5258893280632411, 0.9506916996047431, 0.4591897233201581, 0.8045454545454546, 0.6142292490118577, 0.9760869565217392, 0.48547430830039523, 0.7463438735177865, 0.9944664031620554, 0.8625494071146245, 0.7520750988142293]"
-g_lr-0.01-d_lr-0.001-jsd_lambda-5-g_lambda-5-rec_lambda-0.2,0.1,0.0984375,0.5712450592885375,0.9997035573122529,"[0.717, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]","[0.17578125, 0.1037109375, 0.099609375, 0.1033203125, 0.1033203125, 0.10546875, 0.1017578125, 0.1015625, 0.0978515625, 0.10390625, 0.103515625, 0.100390625, 0.10078125, 0.1, 0.1056640625, 0.100390625, 0.1033203125, 0.102734375, 0.103125, 0.0984375]","[0.7341897233201581, 0.6848814229249012, 0.6971343873517787, 0.7118577075098814, 0.7088932806324111, 0.7227272727272728, 0.658102766798419, 0.6643280632411067, 0.5970355731225296, 0.6568181818181819, 0.7661067193675889, 0.5802371541501976, 0.5059288537549407, 0.5059288537549407, 0.5065217391304347, 0.641403162055336, 0.5627470355731226, 0.49535573122529647, 0.5664031620553359, 0.5712450592885375]","[0.575395256916996, 0.8545454545454545, 0.908399209486166, 0.7093873517786561, 0.9660079051383399, 0.8682806324110672, 0.4890316205533597, 0.5012845849802372, 0.542094861660079, 0.5818181818181818, 0.9625494071146246, 0.8550395256916996, 0.9930830039525692, 0.7904150197628459, 0.9055335968379447, 0.7919960474308301, 0.9588932806324111, 0.9975296442687747, 1.0, 0.9997035573122529]"
-g_lr-0.01-d_lr-0.001-jsd_lambda-5-g_lambda-5-rec_lambda-5,0.104,0.1037109375,1.0,0.9999011857707509,"[0.1234, 0.5144, 0.1512, 0.3642, 0.1672, 0.104, 0.104, 0.104, 0.104, 0.104, 0.104, 0.104, 0.104, 0.104, 0.104, 0.104, 0.104, 0.104, 0.104, 0.104]","[0.111328125, 0.389453125, 0.1046875, 0.15546875, 0.1572265625, 0.09921875, 0.105078125, 0.0990234375, 0.1, 0.1025390625, 0.0984375, 0.10390625, 0.104296875, 0.1044921875, 0.1, 0.107421875, 0.1041015625, 0.09921875, 0.1029296875, 0.1037109375]","[0.6794466403162055, 0.6038537549407115, 0.5257905138339921, 0.5612648221343873, 0.5977272727272728, 0.5701581027667985, 0.700296442687747, 0.5806324110671937, 0.7285573122529644, 0.8412055335968379, 0.7489130434782608, 0.7229249011857708, 0.9971343873517786, 1.0, 0.9999011857707509, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.7734189723320158, 0.8439723320158102, 0.49318181818181817, 0.6127470355731225, 0.9105731225296443, 0.8051383399209486, 0.9994071146245059, 0.7137351778656127, 0.8292490118577075, 0.7601778656126482, 0.5853754940711462, 0.8238142292490118, 0.9988142292490119, 0.999802371541502, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9999011857707509]"
-g_lr-0.01-d_lr-0.01-jsd_lambda-5-g_lambda-5-rec_lambda-5,0.0978,0.0962890625,0.8433794466403162,0.974703557312253,"[0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978, 0.0978]","[0.09765625, 0.1005859375, 0.0998046875, 0.0990234375, 0.09609375, 0.09140625, 0.095703125, 0.0994140625, 0.0943359375, 0.0947265625, 0.0986328125, 0.098046875, 0.095703125, 0.1005859375, 0.0974609375, 0.09765625, 0.096875, 0.1, 0.0955078125, 0.0962890625]","[0.6285573122529644, 0.8960474308300396, 0.7211462450592885, 0.5059288537549407, 0.5104743083003953, 0.5691699604743083, 0.6615612648221344, 0.6694664031620553, 0.6604743083003952, 0.7840909090909091, 0.5895256916996048, 0.882806324110672, 0.5062252964426878, 0.5882411067193676, 0.7233201581027668, 0.9333992094861661, 0.9157114624505929, 0.9938735177865613, 0.8225296442687747, 0.8433794466403162]","[0.941798418972332, 0.9689723320158102, 0.9636363636363636, 0.891798418972332, 0.9790513833992095, 0.9854743083003953, 0.9873517786561264, 0.8754940711462451, 0.950098814229249, 0.866403162055336, 0.9059288537549407, 0.5401185770750988, 0.8591897233201581, 0.8968379446640317, 0.9880434782608696, 0.9220355731225296, 0.966699604743083, 0.5360671936758893, 0.5867588932806325, 0.974703557312253]"
